treatment,tech_company,wellness_program,seek_help,anonymity,leave,phys_health_consequence,coworkers,supervisor,mental_health_interview,mental_vs_physical,obs_consequence,mental_health_consequence
Yes,No,Yes,Yes,Yes,Don't know,No,Some of them,Yes,No,No,Yes,No
No,Yes,No,No,Don't know,Don't know,No,Some of them,Yes,Maybe,No,No,No
Yes,Yes,No,No,Don't know,Somewhat difficult,No,Some of them,Some of them,No,No,Yes,Maybe
Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,Some of them,Yes,No,Don't know,No,No
No,Yes,No,No,Yes,Somewhat difficult,No,Some of them,Yes,No,No,No,Maybe
No,Yes,Don't know,Don't know,Yes,Somewhat easy,No,Some of them,Yes,Maybe,Yes,No,No
Yes,Yes,Yes,Yes,Yes,Don't know,Maybe,No,No,No,No,Yes,Yes
Yes,No,No,Don't know,Don't know,Don't know,No,No,No,No,Don't know,No,Maybe
No,No,No,No,Yes,Very easy,No,Yes,Yes,Maybe,Yes,No,No
Yes,Yes,No,No,Don't know,Don't know,No,Yes,Yes,No,Don't know,No,Maybe
Yes,No,Yes,Don't know,Yes,Don't know,No,Some of them,No,Maybe,Don't know,No,Maybe
Yes,No,No,Don't know,Yes,Somewhat easy,No,Some of them,Some of them,No,Yes,No,Maybe
No,Yes,No,Don't know,Yes,Somewhat easy,No,Some of them,Yes,No,Yes,Yes,No
Yes,Yes,Yes,Don't know,Yes,Very easy,No,Some of them,Yes,No,Yes,No,No
No,No,Don't know,Don't know,No,Very easy,Maybe,Yes,Yes,No,Don't know,No,Maybe
No,Yes,Don't know,Don't know,Don't know,Don't know,No,Yes,Yes,Maybe,Don't know,No,No
No,Yes,No,No,Don't know,Somewhat difficult,No,No,No,No,Don't know,No,Yes
Yes,Yes,Don't know,Don't know,Don't know,Don't know,Maybe,Some of them,Some of them,No,Yes,No,Maybe
No,Yes,No,Yes,Don't know,Somewhat easy,No,Some of them,Yes,No,Yes,No,No
No,Yes,No,No,Don't know,Don't know,No,Some of them,Some of them,No,No,No,Yes
Yes,Yes,No,No,No,Very difficult,Maybe,No,No,No,No,Yes,Yes
Yes,Yes,No,No,Yes,Don't know,Maybe,Yes,No,No,Don't know,No,Maybe
No,Yes,No,No,No,Very difficult,Yes,Some of them,Some of them,No,No,No,Yes
Yes,Yes,No,Yes,Yes,Don't know,No,Yes,Yes,Maybe,Yes,No,No
Yes,Yes,No,No,Yes,Very difficult,No,Some of them,Some of them,No,No,No,Maybe
No,Yes,No,No,Don't know,Somewhat easy,No,Yes,Yes,Yes,Don't know,No,Maybe
No,Yes,No,Don't know,Don't know,Very easy,No,Some of them,Yes,No,Don't know,No,No
Yes,Yes,Don't know,No,Don't know,Very easy,No,Yes,Yes,Yes,Yes,No,No
Yes,Yes,Don't know,Don't know,Don't know,Very easy,Maybe,Yes,Some of them,Maybe,Don't know,Yes,Maybe
Yes,Yes,No,No,Yes,Don't know,No,Some of them,Some of them,No,Don't know,No,Maybe
No,Yes,No,No,Don't know,Very easy,No,Yes,Yes,No,Don't know,No,No
No,Yes,No,No,Don't know,Somewhat difficult,No,Some of them,Some of them,No,No,No,No
Yes,No,Don't know,Don't know,Yes,Don't know,No,Some of them,Yes,Maybe,Yes,No,No
No,Yes,Yes,Yes,Yes,Very easy,No,Some of them,Yes,No,Yes,No,No
No,Yes,No,No,Don't know,Somewhat easy,Maybe,Yes,Some of them,No,Don't know,No,Maybe
Yes,Yes,No,No,Don't know,Don't know,No,No,No,No,No,No,Yes
No,Yes,Yes,Yes,Yes,Don't know,No,Some of them,Yes,No,Don't know,No,No
No,No,No,No,Don't know,Don't know,No,Some of them,No,No,Don't know,No,Maybe
No,Yes,No,No,Don't know,Somewhat easy,Maybe,No,Some of them,No,Don't know,No,Maybe
Yes,No,Yes,Don't know,Don't know,Very easy,No,Some of them,Some of them,No,Yes,No,Maybe
No,Yes,No,Don't know,Don't know,Don't know,No,Some of them,No,No,No,No,Maybe
Yes,Yes,Yes,Yes,Don't know,Somewhat easy,No,Some of them,Yes,No,No,Yes,Maybe
No,Yes,No,No,Yes,Don't know,No,No,No,No,Don't know,No,Yes
Yes,Yes,No,Don't know,Don't know,Don't know,No,No,No,No,Don't know,No,Yes
Yes,Yes,No,No,Yes,Somewhat difficult,No,No,Some of them,No,Don't know,No,Yes
No,No,No,No,Don't know,Don't know,No,Some of them,Some of them,No,No,No,No
Yes,Yes,No,No,Yes,Somewhat easy,Maybe,Yes,Yes,Yes,Yes,No,Maybe
Yes,Yes,Don't know,Don't know,Don't know,Don't know,No,Some of them,Some of them,No,Don't know,No,Maybe
No,Yes,Don't know,Don't know,Don't know,Very easy,No,Some of them,Some of them,No,Yes,No,No
Yes,Yes,No,No,Don't know,Don't know,Maybe,Some of them,No,No,Don't know,Yes,No
Yes,Yes,Yes,Don't know,Don't know,Somewhat easy,No,Some of them,No,No,Don't know,No,Maybe
No,Yes,No,No,No,Somewhat easy,No,Yes,Yes,No,Yes,No,No
No,Yes,No,Don't know,Don't know,Don't know,Maybe,Some of them,Some of them,No,Don't know,No,Yes
Yes,Yes,Don't know,Don't know,Yes,Don't know,No,Some of them,Some of them,No,Don't know,No,Maybe
No,Yes,No,Don't know,Don't know,Don't know,No,Some of them,Some of them,No,Don't know,No,Maybe
Yes,Yes,Don't know,Don't know,Don't know,Don't know,Maybe,Yes,Some of them,No,Don't know,No,No
No,Yes,No,Don't know,Don't know,Don't know,Maybe,Some of them,No,No,No,No,Maybe
Yes,Yes,Yes,Don't know,Don't know,Very easy,No,Yes,Yes,No,Yes,No,No
No,Yes,Don't know,Yes,Don't know,Don't know,No,Some of them,Yes,Maybe,Yes,No,No
Yes,Yes,Yes,Yes,Don't know,Don't know,No,No,No,No,Don't know,No,Yes
No,Yes,Yes,Yes,Don't know,Don't know,No,Some of them,Yes,Maybe,Don't know,No,No
Yes,Yes,Yes,Yes,Don't know,Don't know,No,Some of them,Some of them,No,Yes,No,No
Yes,Yes,Don't know,Don't know,Yes,Somewhat easy,No,Yes,Yes,No,Yes,No,No
No,Yes,No,Don't know,Don't know,Don't know,No,Some of them,Yes,No,Don't know,No,No
Yes,No,Yes,Yes,Yes,Somewhat easy,No,Some of them,Yes,No,Yes,No,Yes
Yes,Yes,Don't know,Yes,Don't know,Somewhat easy,No,Some of them,Yes,No,Yes,No,No
Yes,Yes,No,Don't know,Don't know,Don't know,No,Some of them,Some of them,Maybe,Yes,No,Maybe
No,Yes,No,No,Don't know,Don't know,No,Some of them,Some of them,No,Don't know,Yes,No
No,Yes,No,Don't know,Don't know,Don't know,No,Some of them,Yes,No,Don't know,No,No
No,Yes,Yes,Yes,Don't know,Don't know,No,Some of them,Yes,No,Don't know,No,Maybe
Yes,No,No,Don't know,Don't know,Somewhat difficult,Maybe,No,No,No,Don't know,No,Yes
Yes,Yes,Don't know,Yes,Don't know,Don't know,No,Some of them,Yes,No,Don't know,No,No
Yes,Yes,No,No,Don't know,Somewhat easy,No,Some of them,Yes,No,Yes,No,Maybe
Yes,Yes,No,Don't know,Don't know,Don't know,No,No,No,No,No,No,Yes
No,Yes,Don't know,Don't know,Don't know,Very easy,No,Yes,Yes,Maybe,Yes,No,No
No,No,No,Don't know,Don't know,Don't know,Maybe,Some of them,Some of them,No,Don't know,No,Maybe
No,No,No,Don't know,Don't know,Don't know,No,No,No,No,Don't know,No,Maybe
No,No,Yes,Yes,Yes,Very easy,No,Some of them,Yes,Maybe,Yes,No,No
Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,No,Yes,Yes,Maybe
No,Yes,No,No,Don't know,Somewhat easy,Maybe,Some of them,Some of them,No,Don't know,No,Maybe
Yes,Yes,Don't know,Yes,Yes,Somewhat easy,No,Some of them,Yes,Maybe,Yes,No,No
Yes,Yes,No,Don't know,Don't know,Don't know,No,Some of them,Some of them,No,No,No,Yes
No,Yes,Don't know,Yes,Yes,Somewhat easy,No,Some of them,Yes,Maybe,Yes,No,No
Yes,Yes,No,Yes,Yes,Don't know,No,Some of them,No,No,Don't know,No,Maybe
Yes,Yes,Don't know,No,Don't know,Don't know,No,No,No,No,Don't know,No,Maybe
No,Yes,Don't know,Don't know,Don't know,Don't know,No,No,No,No,Don't know,No,Maybe
No,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No,Some of them,No,Don't know,No,Maybe
Yes,Yes,Don't know,Yes,Don't know,Don't know,No,Yes,Yes,No,Yes,No,No
No,Yes,No,No,Don't know,Don't know,No,Some of them,Some of them,No,Don't know,No,Maybe
Yes,No,No,No,Don't know,Somewhat difficult,Yes,No,No,Maybe,Yes,Yes,Yes
No,Yes,Yes,Yes,Yes,Very easy,No,Some of them,Some of them,No,Yes,No,No
Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,Some of them,No,No,No,No,Yes
No,No,No,No,Yes,Somewhat easy,No,No,No,No,No,No,Maybe
Yes,Yes,No,No,Don't know,Very difficult,No,No,No,No,Don't know,No,No
No,No,No,No,Don't know,Don't know,Maybe,Some of them,Some of them,Maybe,No,No,Maybe
No,Yes,Yes,Don't know,Don't know,Very easy,No,Some of them,Some of them,Maybe,Don't know,No,No
Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,No,No,No,Don't know,No,Yes
No,Yes,Don't know,No,Don't know,Very easy,Maybe,Some of them,Some of them,No,Don't know,No,Maybe
No,Yes,Don't know,Don't know,Yes,Don't know,No,No,No,No,Don't know,No,Yes
No,Yes,Yes,Yes,Yes,Very easy,No,Some of them,Yes,No,Yes,No,No
No,No,No,Don't know,Don't know,Don't know,No,Yes,Yes,No,No,No,No
No,Yes,No,No,Don't know,Very difficult,Maybe,Some of them,Some of them,No,No,No,Yes
No,Yes,Don't know,Don't know,Don't know,Very easy,No,No,No,No,No,No,Yes
No,Yes,Don't know,Don't know,Don't know,Don't know,No,Some of them,Some of them,No,Don't know,No,Maybe
No,Yes,No,No,Don't know,Don't know,Maybe,No,No,No,No,No,Yes
Yes,Yes,No,No,Yes,Don't know,No,Some of them,Yes,No,Don't know,No,No
Yes,No,No,No,Don't know,Don't know,No,Yes,Yes,Maybe,Don't know,No,No
Yes,Yes,Yes,Yes,Don't know,Don't know,No,No,Yes,No,Don't know,No,No
No,Yes,Don't know,Don't know,Don't know,Don't know,No,Some of them,No,No,Don't know,No,Maybe
No,No,No,No,Don't know,Don't know,No,Yes,Yes,Maybe,Don't know,No,Maybe
Yes,Yes,Yes,Yes,Yes,Don't know,No,No,No,No,Yes,No,No
No,Yes,No,Don't know,Don't know,Very easy,No,Some of them,Yes,No,Yes,No,No
Yes,Yes,Don't know,Yes,Don't know,Don't know,No,Some of them,No,No,Don't know,No,Maybe
No,Yes,Yes,No,Don't know,Somewhat easy,No,Some of them,Yes,No,No,No,No
Yes,No,No,Don't know,Yes,Don't know,No,Some of them,No,No,No,No,No
Yes,Yes,No,No,Don't know,Don't know,No,Some of them,Some of them,No,Don't know,No,Maybe
Yes,Yes,Don't know,Yes,Yes,Don't know,Maybe,No,No,No,Don't know,No,Maybe
Yes,Yes,No,No,Don't know,Somewhat easy,Yes,Some of them,Some of them,No,Don't know,No,Yes
No,Yes,No,No,Yes,Very easy,No,Yes,Yes,Maybe,Yes,No,No
Yes,Yes,No,Don't know,Don't know,Somewhat difficult,No,Yes,Yes,No,Yes,No,No
Yes,No,No,Don't know,No,Don't know,No,Some of them,Yes,No,No,No,Maybe
Yes,No,Yes,Yes,Yes,Don't know,No,Some of them,Yes,No,Yes,No,No
Yes,Yes,No,No,Don't know,Don't know,No,Some of them,No,No,No,No,Maybe
Yes,Yes,No,Don't know,Don't know,Somewhat difficult,Maybe,No,No,No,No,No,Maybe
No,Yes,Yes,Yes,Yes,Very easy,No,Some of them,Yes,No,Don't know,No,No
Yes,Yes,No,No,Yes,Very easy,No,Some of them,Some of them,No,Don't know,No,No
Yes,Yes,No,Don't know,Yes,Don't know,No,Yes,Yes,Maybe,Don't know,No,No
Yes,No,No,No,No,Very easy,No,Some of them,No,No,No,No,Yes
No,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,No,Yes,No,No
Yes,Yes,Yes,Yes,Don't know,Somewhat difficult,No,Yes,Some of them,No,No,Yes,Maybe
Yes,Yes,Yes,Yes,Yes,Very easy,No,Yes,Yes,No,Yes,No,No
Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,Some of them,Yes,No,Yes,No,Maybe
Yes,Yes,Don't know,No,Don't know,Somewhat easy,No,Some of them,No,No,Don't know,No,Yes
Yes,Yes,Don't know,Don't know,Don't know,Don't know,No,No,Some of them,No,Don't know,No,Maybe
Yes,Yes,No,No,Yes,Don't know,Maybe,No,No,No,No,No,Yes
Yes,Yes,No,No,Don't know,Don't know,No,Some of them,Yes,No,Yes,No,Maybe
Yes,Yes,No,Yes,Yes,Don't know,No,No,No,No,Don't know,No,Maybe
Yes,Yes,No,Don't know,Don't know,Somewhat easy,No,Some of them,Some of them,No,Don't know,No,No
Yes,Yes,Yes,Yes,Yes,Don't know,No,Some of them,Yes,No,Yes,No,No
Yes,Yes,No,No,Yes,Somewhat easy,No,Yes,Yes,No,No,No,No
Yes,Yes,No,No,Don't know,Don't know,Yes,Some of them,No,No,No,No,Yes
Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,No,Yes,No,Don't know,No,Maybe
No,Yes,No,No,Don't know,Don't know,No,Some of them,Yes,Maybe,Don't know,No,No
Yes,Yes,No,No,Don't know,Somewhat difficult,No,Some of them,No,No,Don't know,No,Yes
Yes,Yes,No,Yes,Yes,Don't know,No,Some of them,No,No,Don't know,No,Maybe
Yes,No,Don't know,Don't know,Don't know,Somewhat easy,Maybe,No,No,No,Don't know,No,Maybe
No,Yes,No,Don't know,Don't know,Somewhat easy,No,Some of them,No,No,Don't know,No,Yes
Yes,Yes,Don't know,Don't know,Don't know,Very easy,No,Yes,Yes,No,Yes,No,No
No,No,No,No,No,Very difficult,Maybe,No,No,No,No,Yes,Yes
No,No,No,Don't know,Don't know,Don't know,No,Some of them,Some of them,No,Don't know,No,Maybe
No,Yes,No,No,Don't know,Don't know,Maybe,No,No,No,No,No,Maybe
No,Yes,No,No,Don't know,Very difficult,Maybe,Some of them,Yes,No,No,Yes,Maybe
No,Yes,No,No,Don't know,Don't know,No,No,Some of them,No,Don't know,No,Maybe
Yes,Yes,Don't know,Don't know,Yes,Somewhat easy,No,Some of them,Some of them,No,Yes,No,Maybe
Yes,Yes,No,No,Don't know,Somewhat difficult,No,Some of them,Yes,No,No,No,Maybe
Yes,Yes,No,No,Don't know,Don't know,No,Some of them,No,No,No,No,Maybe
No,Yes,No,Don't know,Don't know,Don't know,No,Some of them,Yes,No,No,No,No
Yes,Yes,No,No,Don't know,Very difficult,Maybe,Some of them,Some of them,No,No,Yes,Maybe
Yes,Yes,No,No,Don't know,Very easy,No,Some of them,Some of them,Maybe,Don't know,No,Maybe
No,Yes,No,Yes,Yes,Very easy,No,Some of them,Yes,Maybe,No,No,No
Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,Yes,Some of them,No,Yes,No,Yes
No,Yes,Don't know,Don't know,Don't know,Don't know,No,Some of them,No,No,Yes,No,Yes
No,Yes,No,No,Don't know,Somewhat easy,No,Yes,Yes,Maybe,Don't know,No,No
No,Yes,No,No,Don't know,Don't know,Maybe,No,No,No,Don't know,No,Yes
Yes,Yes,No,No,Don't know,Somewhat easy,No,No,No,No,No,No,Yes
Yes,No,No,Don't know,Don't know,Very difficult,Maybe,No,No,No,No,No,Yes
No,Yes,Don't know,Don't know,Don't know,Don't know,No,Some of them,Some of them,No,Don't know,Yes,No
Yes,Yes,Don't know,Don't know,Don't know,Somewhat difficult,No,Some of them,Some of them,No,Yes,No,No
No,Yes,No,Don't know,Don't know,Somewhat easy,No,Some of them,Yes,No,Don't know,No,Maybe
No,Yes,No,No,Don't know,Don't know,No,Some of them,Yes,Maybe,No,No,No
No,Yes,No,No,Don't know,Somewhat easy,No,Yes,Yes,No,Don't know,No,No
Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,No,No,No,No,Yes,Yes
Yes,Yes,No,No,Yes,Very easy,No,Yes,Yes,No,Yes,No,No
No,Yes,Don't know,No,Don't know,Don't know,No,Some of them,No,No,Don't know,No,No
Yes,Yes,Yes,No,Don't know,Very easy,No,Yes,Yes,Yes,Yes,No,No
Yes,Yes,No,Don't know,Don't know,Somewhat easy,No,Some of them,Yes,No,Don't know,No,No
Yes,No,No,Don't know,Don't know,Don't know,No,No,No,No,Don't know,No,Maybe
No,No,No,Yes,Yes,Don't know,No,Some of them,Some of them,Maybe,Yes,No,No
Yes,Yes,No,No,Don't know,Somewhat difficult,No,Some of them,Some of them,No,No,Yes,Yes
No,No,Yes,Don't know,Don't know,Don't know,No,Some of them,No,No,Don't know,No,Maybe
No,No,No,No,Don't know,Don't know,No,Yes,No,No,Don't know,No,No
No,Yes,Yes,Yes,Yes,Somewhat easy,No,Some of them,Some of them,Yes,Yes,No,No
No,Yes,No,No,Don't know,Somewhat easy,No,Some of them,Yes,No,Yes,No,Maybe
Yes,Yes,No,No,Don't know,Very easy,No,No,Some of them,No,Yes,No,Yes
Yes,Yes,No,No,Yes,Somewhat easy,Maybe,Some of them,Some of them,Yes,Don't know,No,Yes
No,Yes,No,No,Don't know,Don't know,No,Yes,Yes,No,Don't know,No,Maybe
Yes,Yes,No,No,Don't know,Somewhat difficult,Maybe,Some of them,Some of them,No,Don't know,No,Maybe
No,Yes,No,Don't know,Don't know,Don't know,No,Some of them,Yes,No,Don't know,No,No
No,Yes,Don't know,Don't know,Don't know,Don't know,No,Some of them,Yes,No,Don't know,Yes,No
No,Yes,Don't know,Don't know,Yes,Very easy,No,Some of them,Yes,No,Don't know,No,No
Yes,Yes,No,Don't know,Don't know,Don't know,No,Some of them,No,No,Don't know,No,Maybe
Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,Yes,Yes,Maybe,Yes,No,No
No,Yes,No,No,Don't know,Don't know,Maybe,No,No,No,No,No,Maybe
No,Yes,Yes,Don't know,Don't know,Somewhat easy,No,No,No,No,Don't know,No,Maybe
Yes,Yes,Yes,Yes,Yes,Don't know,No,Some of them,Yes,Maybe,Yes,Yes,Maybe
No,Yes,Don't know,No,Don't know,Don't know,No,Some of them,Yes,No,Yes,No,No
Yes,Yes,No,No,Yes,Very easy,No,Yes,Yes,No,Yes,No,No
No,Yes,No,Don't know,Don't know,Don't know,No,Some of them,Some of them,No,No,Yes,Yes
No,Yes,Don't know,Don't know,Don't know,Don't know,No,Some of them,Some of them,No,Don't know,Yes,Maybe
Yes,Yes,No,No,Don't know,Somewhat difficult,Maybe,Some of them,Some of them,No,No,Yes,Yes
Yes,Yes,Yes,No,Don't know,Don't know,No,Some of them,Yes,No,Don't know,No,No
Yes,No,Yes,Yes,Don't know,Don't know,Maybe,Some of them,Some of them,No,Don't know,No,Maybe
Yes,Yes,No,No,Yes,Very easy,No,Yes,Yes,Maybe,Yes,No,No
Yes,Yes,Yes,No,Don't know,Very difficult,No,Some of them,No,No,No,Yes,Yes
Yes,Yes,No,No,Don't know,Don't know,Yes,Some of them,No,No,Don't know,No,Yes
Yes,Yes,No,Don't know,Don't know,Don't know,No,No,No,No,Don't know,No,Yes
No,Yes,No,No,Yes,Somewhat easy,No,Yes,Yes,Maybe,Don't know,No,No
No,Yes,No,No,Don't know,Somewhat easy,No,Some of them,Some of them,No,No,No,Maybe
No,Yes,No,No,Yes,Don't know,No,No,No,No,Don't know,No,Yes
No,Yes,No,No,Don't know,Don't know,No,Some of them,No,No,Yes,No,Maybe
No,Yes,No,No,Don't know,Don't know,Maybe,Some of them,Some of them,No,Don't know,No,Maybe
No,Yes,Don't know,Don't know,Don't know,Don't know,No,Some of them,Yes,Maybe,Yes,No,No
No,Yes,No,No,Don't know,Somewhat easy,Maybe,Some of them,No,No,Don't know,No,Yes
No,Yes,No,No,Don't know,Somewhat difficult,Maybe,Some of them,No,No,No,No,Maybe
Yes,Yes,Yes,Don't know,Don't know,Somewhat easy,No,Some of them,Yes,No,Yes,No,Yes
Yes,Yes,No,No,Yes,Somewhat easy,Maybe,Some of them,Yes,No,Yes,No,Maybe
Yes,Yes,No,No,Don't know,Don't know,No,Some of them,Yes,No,No,No,Maybe
Yes,Yes,No,No,No,Very difficult,Maybe,No,Some of them,No,No,No,Yes
No,Yes,No,No,Don't know,Don't know,No,Yes,Yes,Maybe,No,No,Maybe
Yes,Yes,No,No,Yes,Don't know,No,Some of them,No,No,Don't know,No,Yes
Yes,Yes,Yes,Yes,Yes,Very easy,No,Some of them,Yes,No,Yes,No,No
Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,Some of them,Yes,No,Yes,No,Maybe
No,Yes,No,No,Don't know,Very difficult,No,No,No,No,No,No,Yes
Yes,Yes,No,Yes,Don't know,Don't know,No,Some of them,Some of them,No,No,Yes,Yes
No,Yes,No,No,Don't know,Very difficult,No,Some of them,Yes,No,Don't know,No,Maybe
Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,No,No,Don't know,No,Maybe
Yes,Yes,No,No,Don't know,Somewhat difficult,Maybe,Some of them,No,No,No,Yes,Yes
Yes,Yes,Don't know,Don't know,Don't know,Don't know,Maybe,Yes,Yes,Maybe,Don't know,No,No
No,No,No,Don't know,Don't know,Very easy,No,No,No,No,Don't know,No,Yes
No,Yes,No,No,Don't know,Don't know,No,Some of them,Yes,No,Don't know,No,Maybe
No,No,Don't know,Don't know,Don't know,Don't know,No,Yes,Yes,Maybe,Yes,No,No
Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No,No,No,Don't know,No,Yes
Yes,Yes,Don't know,Don't know,Don't know,Don't know,Maybe,Some of them,Some of them,Maybe,Don't know,No,Maybe
Yes,Yes,No,No,Don't know,Don't know,No,Some of them,No,No,Don't know,No,Maybe
No,Yes,No,Don't know,Don't know,Don't know,No,No,No,No,Don't know,No,Maybe
Yes,No,Don't know,No,Don't know,Somewhat easy,No,Some of them,Some of them,No,No,Yes,Maybe
Yes,Yes,No,No,Don't know,Don't know,Maybe,Some of them,No,No,Don't know,No,Yes
Yes,Yes,No,No,Yes,Very easy,No,Yes,Yes,No,Yes,No,No
No,Yes,No,No,Yes,Very easy,No,Some of them,Yes,No,Yes,No,Maybe
No,No,No,No,Don't know,Don't know,Maybe,Some of them,Some of them,No,No,No,Maybe
No,Yes,Don't know,Don't know,Yes,Don't know,No,No,Some of them,No,Yes,No,No
No,No,No,No,Don't know,Don't know,No,Some of them,Some of them,No,Don't know,No,No
No,Yes,No,No,Don't know,Somewhat difficult,No,Some of them,No,No,No,Yes,Yes
Yes,Yes,Don't know,Don't know,Don't know,Don't know,No,Some of them,Some of them,No,Don't know,Yes,No
No,Yes,Don't know,Don't know,Don't know,Don't know,No,Some of them,No,No,Don't know,No,Maybe
Yes,Yes,Don't know,No,Don't know,Don't know,No,Some of them,Some of them,No,Yes,Yes,Maybe
Yes,No,No,No,Don't know,Somewhat difficult,Maybe,Some of them,No,No,No,Yes,Yes
Yes,Yes,No,No,Yes,Somewhat difficult,No,Some of them,No,No,No,Yes,Yes
Yes,No,Yes,Yes,Yes,Very easy,No,Yes,Yes,Maybe,No,No,No
No,Yes,Don't know,Don't know,Don't know,Somewhat easy,No,Some of them,Some of them,No,Yes,No,No
Yes,Yes,No,No,Yes,Don't know,Maybe,No,No,No,No,No,Maybe
No,Yes,No,No,No,Don't know,Maybe,Some of them,No,No,No,Yes,Yes
No,Yes,No,Don't know,Don't know,Don't know,No,No,Some of them,No,Don't know,No,No
No,No,Don't know,Yes,Don't know,Don't know,No,Yes,Yes,No,Don't know,No,No
Yes,Yes,No,No,Don't know,Don't know,Maybe,No,No,No,No,No,Yes
Yes,Yes,Yes,Yes,Don't know,Don't know,No,Some of them,No,No,Yes,No,Maybe
No,No,Yes,No,Don't know,Very difficult,No,Yes,Yes,Maybe,No,No,Maybe
Yes,Yes,No,No,Don't know,Don't know,No,Yes,Yes,Maybe,Yes,No,No
Yes,Yes,Yes,Yes,Don't know,Very easy,No,Some of them,Yes,No,Yes,No,No
No,Yes,Yes,Don't know,Yes,Don't know,No,Some of them,Yes,No,Yes,No,No
Yes,Yes,Yes,Yes,Don't know,Very easy,No,Some of them,Some of them,No,Don't know,No,No
No,Yes,No,No,No,Somewhat easy,No,Some of them,No,No,Yes,No,Maybe
No,Yes,No,Don't know,Don't know,Don't know,No,No,No,No,Don't know,No,Maybe
No,Yes,Yes,Yes,Yes,Very easy,No,Yes,Yes,No,Yes,No,No
Yes,Yes,Yes,Yes,Yes,Don't know,No,No,No,No,No,No,Yes
No,Yes,No,Don't know,Don't know,Don't know,No,Some of them,No,No,Don't know,No,Maybe
Yes,Yes,Yes,Yes,Yes,Don't know,No,Some of them,Yes,No,Yes,No,No
Yes,No,Yes,Yes,Yes,Very easy,No,Yes,Yes,No,No,Yes,Maybe
Yes,Yes,No,No,Yes,Very easy,Yes,Some of them,Some of them,No,No,No,Yes
Yes,Yes,No,No,Yes,Very easy,Maybe,Yes,Yes,No,No,No,Maybe
No,Yes,Don't know,Yes,Don't know,Don't know,No,Some of them,Yes,Maybe,Yes,No,Maybe
No,No,Don't know,Don't know,Yes,Don't know,Maybe,Some of them,Some of them,No,Don't know,No,Maybe
No,No,No,No,Don't know,Don't know,Maybe,No,No,No,No,No,Maybe
